Address,Latitude,Longitude
ITO,19.721399307251,-155.048004150391
ORL,28.545499801635998,-81.332901000977
MHR,38.55390167,-121.29799650000001
FSM,35.336601257324205,-94.36740112304692
PNC,36.73199844,-97.09980011
SVN,32.00999832,-81.14569855
GFK,47.949298999999996,-97.176102
PBF,34.173099517800004,-91.9356002808
TTN,40.2766990661621,-74.8134994506836
BOS,42.36429977,-71.00520325
BFM,30.6268005371,-88.06809997559999
OAK,37.7212982177734,-122.221000671387
OMA,41.3031997680664,-95.8940963745117
OGG,20.8985996246338,-156.429992675781
ICT,37.6498985290527,-97.43309783935551
MCI,39.2976,-94.713898
MSN,43.1399002075195,-89.3375015258789
HRO,36.261501312255895,-93.1547012329102
PHX,33.434299468994105,-112.012001037598
BGR,44.807399749755895,-68.82810211181639
FXE,26.1972999573,-80.1707000732
GGG,32.3839988708496,-94.7115020751953
AND,34.4945983887,-82.7093963623
GEG,47.619899749755895,-117.53399658203101
SFO,37.61899948120121,-122.375
ARA,30.0378,-91.883904
GNV,29.6900997162,-82.27179718020001
MEM,35.0424003601074,-89.9766998291016
CNW,31.6378002167,-97.07409667969999
POB,35.1708984375,-79.014503479004
DLF,29.359500885,-100.77799987799999
LAX,33.94250107,-118.40799709999999
ANB,33.58819962,-85.85810089
CLE,41.411701202399996,-81.8498001099
DOV,39.12950134,-75.46600342
CVG,39.0488014221,-84.6678009033
HON,44.3852005004883,-98.2285003662109
JNU,58.3549995422363,-134.57600402832
LFT,30.20529938,-91.98760223
EWR,40.6925010681152,-74.168701171875
GCK,37.9275016785,-100.72399902299999
MOT,48.2593994140625,-101.279998779297
MXF,32.3829002380371,-86.3657989501953
DAL,32.8470993041992,-96.85179901123051
HLN,46.6068000793457,-111.98300170898399
NKX,32.86840057,-117.1429977
LUF,33.534999847399995,-112.383003235
END,36.339199066199996,-97.9164962769
LCH,30.1261005401611,-93.22329711914058
MYR,33.6796989441,-78.9282989502
DCA,38.8521,-77.037697
BYH,35.9642982483,-89.9440002441
ACY,39.4575996398926,-74.5772018432617
TIK,35.414699554443004,-97.386596679688
PUB,38.289100646972706,-104.497001647949
GRF,47.07920074,-122.5810013
ADQ,57.75,-152.4940033
FLL,26.0725994110107,-80.152702331543
SLC,40.788398742675795,-111.977996826172
LSF,32.337299346900004,-84.9913024902
MDT,40.1935005188,-76.7633972168
LNK,40.851001739502,-96.7592010498047
LAN,42.7787017822266,-84.58740234375
HKY,35.74110031,-81.38950348
IAH,29.984399795532198,-95.34140014648442
BFL,35.43360138,-119.0569992
ELP,31.80719948,-106.37799840000002
CAE,33.9388008117676,-81.119499206543
DMA,32.1665000916,-110.883003235
NPA,30.35269928,-87.31860352
PNS,30.473400115967003,-87.18659973144501
HOU,29.64539909,-95.27890015
PIT,40.49150085,-80.23290253
EFD,29.6072998047,-95.15879821780001
VAD,30.967800140399998,-83.1930007935
MIA,25.793199539184602,-80.2906036376953
SEA,47.449001312255895,-122.30899810791
CHA,35.0353012084961,-85.20379638671879
BDR,41.163501739502,-73.1261978149414
JAN,32.3111991882,-90.0758972168
IPT,41.2417984008789,-76.9210968017578
IND,39.7173,-86.294403
SZL,38.73030090332,-93.547897338867
GWO,33.4943008423,-90.08470153809999
JBR,35.8316993713379,-90.6464004516602
NZY,32.69919968,-117.2149963
BIF,31.84950066,-106.3799973
YUM,32.65660095,-114.6060028
CNM,32.3375015258789,-104.26300048828101
DLH,46.8420982361,-92.19360351559999
HUF,39.451499938964794,-87.3076019287109
HVR,48.54299927,-109.762001
MWH,47.20769882,-119.3199997
RIC,37.505199432373,-77.3197021484375
SHV,32.4466018676758,-93.8255996704102
BPT,29.9507999420166,-94.0206985473633
SAV,32.12760162,-81.20210266
HIF,41.12403,-111.97308600000001
SAT,29.533700942993196,-98.4698028564453
ROC,43.118900299072294,-77.6724014282227
RCA,44.14500046,-103.1039963
RDU,35.877601623535206,-78.7874984741211
DAY,39.902400970459,-84.2193984985352
ESF,31.3948993683,-92.29579925540001
LTS,34.667098999000004,-99.26670074459999
TUS,32.116100311279304,-110.94100189209
MIB,48.41559982,-101.3580017
GSB,35.33940125,-77.96060181
PVD,41.7326011657715,-71.4204025268555
SBY,38.3404998779297,-75.5102996826172
DTW,42.2123985290527,-83.353401184082
TPA,27.9755001068115,-82.533203125
EIL,64.66570282,-147.102005
MAF,31.9424991607666,-102.202003479004
GRB,44.4850997924805,-88.1296005249023
ADM,34.30301,-97.01963420000001
AGS,33.369899749755895,-81.9645004272461
ISN,48.177898407,-103.64199829100001
LIT,34.7294006348,-92.22429656979999
SAC,38.5125007629,-121.49299621600001
TBN,37.74160004,-92.14070129
SKA,47.6151008606,-117.65599823
PAM,30.0695991516,-85.57540130619999
DFW,32.896800994873,-97.0380020141602
TCM,47.1376991272,-122.475997925
AUS,30.194499969482397,-97.6698989868164
LCK,39.813801,-82.927803
MQT,46.3535995483,-87.39540100100001
TYS,35.81100082,-83.99400329999999
STL,38.7486991882324,-90.37000274658199
SPS,33.98880005,-98.49189758
LUK,39.10329819,-84.41860199
ATL,33.6366996765137,-84.4281005859375
MCC,38.66759872,-121.40100100000001
GRR,42.88079834,-85.52279663
FAT,36.7761993408203,-119.718002319336
IPL,32.8342018127,-115.57900238
BNA,36.1245002746582,-86.6781997680664
LRD,27.543800354003896,-99.4616012573242
EDF,61.2509994506836,-149.80700683593798
AOO,40.29639816,-78.31999969
DYS,32.4207992554,-99.85459899899999
ELD,33.2210006713867,-92.8133010864258
LGA,40.77719879,-73.87259674
TLH,30.3964996337891,-84.3503036499023
DPA,41.90779877,-88.24859619
ACT,31.611299514770497,-97.23049926757808
AUG,44.320598602299995,-69.7973022461
MKL,35.59989929,-88.91560364
SJT,31.3577003479004,-100.49600219726601
CIC,39.79539871,-121.8580017
BTV,44.471900939899996,-73.1532974243
JAX,30.4941005706787,-81.6878967285156
DRO,37.1515007019,-107.75399780299999
IAD,38.94449997,-77.45580292
